Vessel ID,Batch ID,CDV,Sealout Date,Proximal Kink Radius,Distal Kink Radius,Proximal Compliance 50/90,Distal Compliance 50/90,Proximal Compliance 80/120,Distal Compliance 80/120,Proximal Compliance 110/150,Distal Compliance 110/150,Proximal Elastic Modulus,Distal Elastic Modulus,Proximal UTS,Distal UTS,Age
VES136-985,LE200-01,C1D5V06,26-Nov-18,7.5,6.5,0.243,0.276,0.241,0.241,0.16,0.201,2299.910337,2481.133911,797.8991157,770.1855975,0
VES338-137,LE200-01,C3D4V07,26-Nov-18,9,8.5,0.24,0.28,0.2,0.239,0.158,0.199,3102.413432,2329.18906,880.709724,745.79127,0
VES338-28,LE200-01,C1D3V08,26-Nov-18,7,8,0.352,0.284,0.273,0.203,0.235,0.202,2138.631956,2167.091563,646.2349927,905.8604084,0
VES356-68,LE200-01,C2D2V08,26-Nov-18,7.5,9.5,0.236,0.316,0.198,0.276,0.195,0.235,2232.458739,3818.603427,847.736671,791.9921233,0
VES345-275,LE200-10,C2D5V04,18-Mar-19,5,7.5,0.219,0.308,0.182,0.231,0.145,0.191,1837.942553,1608.448899,666.6960552,742.3957411,0
VES345-350,LE200-10,C3D4V02,18-Mar-19,7.5,6,0.255,0.324,0.183,0.25,0.182,0.214,2146.598596,1963.852713,583.8758833,695.1283673,0
VES345-423,LE200-10,C4D2V08,18-Mar-19,7,7,0.318,0.302,0.281,0.263,0.273,0.225,1769.061365,2254.102634,612.8722899,949.3338532,0
VES346-239,LE200-11,C3D4V09,18-Mar-19,6,6,0.435,0.271,0.314,0.231,0.235,0.192,1671.130232,1673.178053,731.0999342,632.796814,0
VES346-254,LE200-11,C4D1V04,18-Mar-19,7.5,7,0.226,0.314,0.226,0.234,0.187,0.195,1372.200621,2129.853583,700.9142831,779.975753,0
VES346-274,LE200-11,C4D3V04,18-Mar-19,6.5,8.5,0.22,0.264,0.183,0.212,0.146,0.187,1896.289584,2317.336745,700.2197882,750.4023797,0
VES352-138,LE200-15,C1D4V08,17-Jun-19,7,6.5,0.254,0.27,0.218,0.224,0.162,0.191,2080.789995,2442.433029,792.2223644,870.8118744,0
VES352-265,LE200-15,C4D2V05,17-Jun-19,5,4.5,0.262,0.257,0.253,0.183,0.191,0.182,2234.427308,1515.325293,727.4202537,598.4199449,0
VES356-133,LE50-19,D4V3,05-Aug-19,6.5,8,0.417,0.212,0.291,0.252,0.207,0.21,2506.951281,2128.547769,879.3507533,684.2328175,0
VES356-134,LE50-19,D4V4,05-Aug-19,6.5,7.5,0.209,0.262,0.206,0.216,0.166,0.174,1641.24231,1690.652364,526.7916475,680.633368,0
VES356-137,LE50-19,D4V7,05-Aug-19,7,6.5,0.291,0.296,0.166,0.21,0.124,0.168,2555.984994,1807.429568,791.8407846,603.7539891,0
J2DW,,C1D3V5,,7.5,,0.468,,0.336,,0.21,,1483.799097,,510.2770016,,1
J2DW,,C2D2V8,,6,,0.335,,0.208,,0.207,,1972.993856,,715.5994489,,1
J2DW,,C2D2V7,,8.5,,0.298,,0.237,,0.184,,2158.434048,,969.8707774,,1
J2DW,,C3D1V2,,7,,0.332,,0.248,,0.205,,1955.033066,,649.6399018,,1
J2DW,,C1D5V4,,6,,0.203,,0.202,,0.162,,2776.799995,,958.9901328,,1
J2DW,,C1D5V9,,5.5,,0.464,,0.292,,0.169,,3101.692169,,870.3253195,,1
J2DW,,C1D5V5,,7,,0.161,,0.16,,0.12,,2027.168532,,692.7705767,,1
J2DW,,C1D1V7,,5.5,,0.541,,0.285,,0.206,,2357.419532,,1044.224377,,1
J2DW,,C1D1V6,,6,,0.203,,0.162,,0.161,,1611.956758,,651.2904786,,1
J2DW,,C3D5V2,,7,,0.225,,0.83,,0.187,,2026.910875,,743.8540575,,1
J2DW,,C3D3V9,,6.5,,0.33,,0.289,,0.239,,1704.80089,,774.1487484,,1
J2DW,,C3D1V3,,9,,0.378,,0.245,,0.21,,2483.21265,,785.834767,,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
